age_Myr,t(Gyr),M/Ms,Teff(K),L/Ls,lg(g),R(Gcm),D,Li,G,G_BP,G_RP,J,H,K,g_p1,r_p1,i_p1,y_p1,z_p1
1.0,0.001,0.01,2345.0,-2.7,3.57,18.99,1.0,1.0,14.054999847412109,17.78479917602539,12.466800099182128,9.328,8.77,8.353,17.937,17.095,13.757,12.125,11.009
1.0,0.001,0.015,2504.0,-2.42,3.58,22.9,1.0,1.0,13.014999885559082,16.269799786376954,11.475799923706054,8.667,8.135,7.751,16.291,15.787,12.54,11.155,10.214
1.0,0.001,0.02,2598.0,-2.25,3.59,26.11,1.0,1.0,12.381000061035156,15.366799908447266,10.870800381469726,8.238,7.71,7.347,15.366,14.935,11.827,10.566,9.722
1.0,0.001,0.03,2710.0,-1.98,3.57,32.78,1.0,1.0,11.507000465393066,14.182799893188477,10.035800343322753,7.582,7.054,6.72,14.194,13.747,10.885,9.754,9.006
1.0,0.001,0.04,2779.0,-1.81,3.57,37.62,0.99,1.0,10.990000267028808,13.496800022888184,9.540800457763671,7.188,6.652,6.338,13.512,13.061,10.339,9.275,8.58
1.0,0.001,0.05,2824.0,-1.65,3.53,44.05,0.975,1.0,10.532999534606933,12.95879991607666,9.094800358581542,6.786,6.245,5.945,12.971,12.535,9.87,8.837,8.163
1.0,0.001,0.06,2864.0,-1.53,3.52,49.25,0.93,1.0,10.204000015258789,12.579800205993653,8.773800259399414,6.494,5.946,5.66,12.586,12.171,9.535,8.52,7.86
1.0,0.001,0.07,2897.0,-1.41,3.49,54.82,0.865,1.0,9.907999534606933,12.246800022888184,8.482799893188476,6.22,5.666,5.393,12.248,11.854,9.234,8.232,7.58
1.0,0.001,0.072,2896.0,-1.39,3.48,56.3,0.87,1.0,9.856000442504882,12.199800091552735,8.429800396728515,6.163,5.608,5.335,12.2,11.808,9.183,8.179,7.525
1.0,0.001,0.075,2897.0,-1.36,3.47,58.18,0.865,1.0,9.783999938964843,12.128799992370606,8.357799893188476,6.089,5.532,5.262,12.128,11.74,9.112,8.107,7.451
1.0,0.001,0.08,2898.0,-1.31,3.45,61.53,0.865,1.0,9.667999763488769,12.01679952697754,8.240800267028808,5.966,5.407,5.138,12.014,11.633,8.997,7.989,7.33
1.0,0.001,0.09,2908.0,-1.23,3.42,67.28,0.805,1.0,9.457999725341796,11.796800213623047,8.03179967956543,5.759,5.193,4.93,11.792,11.422,8.786,7.781,7.123
1.0,0.001,0.1,2936.0,-1.17,3.43,70.29,0.409,1.0,9.287999649047851,11.575799542236329,7.869799977111817,5.631,5.052,4.797,11.569,11.203,8.61,7.625,6.985
1.0,0.001,0.2,3226.0,-0.66,3.38,105.41,0.0083,1.0,7.7109999847412105,9.484799938964844,6.394800072479248,4.464,3.737,3.532,9.497,9.075,6.993,6.214,5.743
